Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"d'Entremont, Chris",1969,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"West Nova (2019/10/21 - )
","Nova Scotia
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Dabrusin, Julie",1971-04-16,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Toronto--Danforth (2015/10/19 - )
","Ontario
",Woman,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Dagenais, Jean-Guy",NA,"Senator (2012/01/17 - )
",NA,"2012/01/17 - 
","Victoria (2012/01/17 - )
","Quebec
",Man,"Canadian Senators Group (2019/11/18 - )
Conservative Party of Canada (2012/01/17 - 2019/11/17)
","4437 days (12 years, 1 months, 24 days)"
"Dallaire, Roméo A.",1946-06-25,"Senator (2005/03/24 - 2014/06/17)
",NA,"2005/03/24 - 2014/06/17
","Gulf (2005/03/24 - 2014/06/17)
","Quebec
",Man,"Liberal Party of Canada (2005/03/24 - 2014/06/17)
","3373 days (9 years, 2 months, 25 days)"
"Dalphond, Pierre J.",NA,"Senator (2018/06/06 - )
",NA,"2018/06/06 - 
","De Lorimier (2018/06/06 - )
","Quebec
",Man,"Progressive Senate Group (2020/05/21 - )
Non-affiliated (2020/05/21 - 2020/05/21)
Independent Senators Group (2018/06/08 - 2020/05/20)
Non-affiliated (2018/06/06 - 2018/06/07)
","2105 days (5 years, 9 months, 5 days)"
"Dalphond-Guiral, Madeleine",1938-06-06,"MP (1993/10/25 - 2004/06/27)
","1993/10/25 - 2004/06/27
",NA,"Laval Centre (1993/10/25 - 2004/06/27)
","Quebec
",Woman,"Bloc Québécois (1993/10/25 - 2004/06/27)
","3899 days (10 years, 8 months, 4 days)"
"Dalton, Marc",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Pitt Meadows--Maple Ridge (2019/10/21 - )
","British Columbia
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Damoff, Pam",NA,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Oakville North--Burlington (2015/10/19 - )
","Ontario
",Woman,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Dancho, Raquel",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Kildonan--St. Paul (2019/10/21 - )
","Manitoba
",Woman,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Danforth, Harold Warren",1916-04-08,"MP (1968/06/25 - 1974/07/07)
MP (1963/04/08 - 1968/06/24)
MP (1958/03/31 - 1962/06/17)
","1968/06/25 - 1974/07/07
1963/04/08 - 1968/06/24
1958/03/31 - 1962/06/17
",NA,"Kent--Essex (1968/06/25 - 1974/07/07)
Kent (1963/04/08 - 1968/06/24)
Kent (1958/03/31 - 1962/06/17)
","Ontario
Ontario
Ontario
",Man,"Progressive Conservative Party (1963/04/08 - 1974/09/29)
Progressive Conservative Party (1958/03/31 - 1962/06/17)
","5649 days (15 years, 5 months, 18 days)"
"Daniel, Joe",1954-12-05,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Don Valley East (2011/05/02 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Danis, Marcel",1943-10-22,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Verchères (1984/09/04 - 1993/10/24)
","Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Danson, Barnett Jerome",1921-02-08,"MP (1968/06/25 - 1979/05/21)
","1968/06/25 - 1979/05/21
",NA,"York North (1968/06/25 - 1979/05/21)
","Ontario
",Man,"Liberal Party of Canada (1968/06/25 - 1979/05/21)
","3983 days (10 years, 10 months, 27 days)"
"Dantzer, Vincent Martin",1923-10-02,"MP (1980/02/18 - 1988/11/20)
","1980/02/18 - 1988/11/20
",NA,"Okanagan North (1980/02/18 - 1988/11/20)
","British Columbia
",Man,"Progressive Conservative Party (1980/02/18 - 1988/11/20)
","3199 days (8 years, 9 months, 3 days)"
"Darling, Stan",1911-07-16,"MP (1972/10/30 - 1993/10/24)
","1972/10/30 - 1993/10/24
",NA,"Parry Sound--Muskoka (1972/10/30 - 1993/10/24)
","Ontario
",Man,"Progressive Conservative Party (1972/10/30 - 1993/10/24)
","7665 days (20 years, 11 months, 25 days)"
"Dasko, Donna",NA,"Senator (2018/06/06 - )
",NA,"2018/06/06 - 
","Ontario (2018/06/06 - )
","Ontario
",Woman,"Independent Senators Group (2018/06/08 - )
Non-affiliated (2018/06/06 - 2018/06/07)
","2105 days (5 years, 9 months, 5 days)"
"Daubney, David Bruce",1947-07-23,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"Ottawa West (1984/09/04 - 1988/11/20)
","Ontario
",Man,"Progressive Conservative Party (1984/09/04 - 1988/11/20)
","1539 days (4 years, 2 months, 17 days)"
"Daudlin, Robert Mose Patrick",1940-03-03,"MP (1979/05/22 - 1984/09/03)
MP (1974/07/08 - 1979/05/21)
","1979/05/22 - 1984/09/03
1974/07/08 - 1979/05/21
",NA,"Essex--Kent (1979/05/22 - 1984/09/03)
Kent--Essex (1974/07/08 - 1979/05/21)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1974/07/08 - 1984/07/09)
","3711 days (10 years, 1 months, 29 days)"
"Davey, Keith Douglas",1926-04-21,"Senator (1966/02/24 - 1996/07/01)
",NA,"1966/02/24 - 1996/07/01
","York (1966/02/24 - 1996/07/01)
","Ontario
",Man,"Liberal Party of Canada (1966/02/24 - 1996/07/01)
","11086 days (30 years, 4 months, 7 days)"
"Daviault, Michel",1952-11-25,"MP (1993/10/25 - 1997/06/01)
","1993/10/25 - 1997/06/01
",NA,"Ahuntsic (1993/10/25 - 1997/06/01)
","Quebec
",Man,"Bloc Québécois (1993/10/25 - 1997/06/01)
","1316 days (3 years, 7 months, 7 days)"
"David, Paul",1919-12-25,"Senator (1985/04/16 - 1994/12/25)
",NA,"1985/04/16 - 1994/12/25
","Bedford (1985/04/16 - 1994/12/25)
","Quebec
",Man,"Progressive Conservative Party (1985/04/16 - 1994/12/25)
","3541 days (9 years, 8 months, 11 days)"
"Davidson, Patricia",1946-06-30,"MP (2006/01/23 - 2015/10/18)
","2006/01/23 - 2015/10/18
",NA,"Sarnia--Lambton (2006/01/23 - 2015/10/18)
","Ontario
",Woman,"Conservative Party of Canada (2006/01/23 - 2015/10/18)
","3556 days (9 years, 8 months, 26 days)"
"Davidson, Scot",NA,"MP (2019/02/25 - )
","2019/02/25 - 
",NA,"York--Simcoe (2019/02/25 - )
","Ontario
",Man,"Conservative Party of Canada (2019/02/25 - )
","1841 days (5 years, 15 days)"
"Davies, Don",1963-01-16,"MP (2008/10/14 - )
","2008/10/14 - 
",NA,"Vancouver Kingsway (2008/10/14 - )
","British Columbia
",Man,"New Democratic Party (2008/10/14 - )
","5627 days (15 years, 4 months, 26 days)"
"Davies, Libby",1953-02-27,"MP (1997/06/02 - 2015/10/18)
","1997/06/02 - 2015/10/18
",NA,"Vancouver East (1997/06/02 - 2015/10/18)
","British Columbia
",Woman,"New Democratic Party (1997/06/02 - 2015/10/18)
","6713 days (18 years, 4 months, 17 days)"
"Davies, William Rupert",1879-09-12,"Senator (1942/11/19 - 1967/03/11)
",NA,"1942/11/19 - 1967/03/11
","Kingston (1942/11/19 - 1967/03/11)
","Ontario
",Man,"Liberal Party of Canada (1942/11/19 - 1967/03/11)
","8879 days (24 years, 3 months, 22 days)"
"Davis, John (Jack)",1916-07-31,"MP (1968/06/25 - 1974/07/07)
MP (1962/06/18 - 1968/06/24)
","1968/06/25 - 1974/07/07
1962/06/18 - 1968/06/24
",NA,"Capilano (1968/06/25 - 1974/07/07)
Coast-Capilano (1962/06/18 - 1968/06/24)
","British Columbia
British Columbia
",Man,"Liberal Party of Canada (1962/06/18 - 1974/07/07)
","4403 days (12 years, 20 days)"
"Dawson, Dennis",NA,"MP (1977/05/24 - 1984/09/03)
Senator (2005/08/02 - 2023/02/08)
","1977/05/24 - 1984/09/03
","2005/08/02 - 2023/02/08
","Lauzon (2005/08/02 - 2023/02/08)
Louis-Hébert (1977/05/24 - 1984/09/03)
","Quebec
Quebec
",Man,"Progressive Senate Group (2020/05/21 - 2023/02/08)
Non-affiliated (2019/11/18 - 2020/05/20)
Progressive Senate Group (2019-2019) (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2005/08/02 - 2019/11/13)
Liberal Party of Canada (1977/05/24 - 1984/09/03)
","9060 days (24 years, 9 months, 20 days)"
"Day, Anne-Marie",1954-02-02,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Charlesbourg--Haute-Saint-Charles (2011/05/02 - 2015/10/18)
","Quebec
",Woman,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Day, Joseph A.",NA,"Senator (2001/10/04 - 2020/01/23)
",NA,"2001/10/04 - 2020/01/23
","Saint John - Kennebecasis (2001/10/04 - 2020/01/23)
","New Brunswick
",Man,"Non-affiliated (2019/11/18 - 2020/01/23)
Progressive Senate Group (2019-2019) (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2001/10/04 - 2019/11/13)
","6686 days (18 years, 3 months, 21 days)"
"Day, Stockwell Burt",1950-08-16,"MP (2000/09/11 - 2011/05/01)
","2000/09/11 - 2011/05/01
",NA,"Okanagan--Coquihalla (2000/09/11 - 2011/05/01)
","British Columbia
",Man,"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/09/11 - 2003/12/22)
","3885 days (10 years, 7 months, 20 days)"
"De Bané, Pierre",1938-08-02,"MP (1979/05/22 - 1984/06/28)
MP (1968/06/25 - 1979/05/21)
Senator (1984/06/29 - 2013/08/02)
","1979/05/22 - 1984/06/28
1968/06/25 - 1979/05/21
","1984/06/29 - 2013/08/02
","De la Vallière (1984/06/29 - 2013/08/02)
Matapédia--Matane (1979/05/22 - 1984/06/28)
Matane (1968/06/25 - 1979/05/21)
","Quebec
Quebec
Quebec
",Man,"Liberal Party of Canada (1968/06/25 - 2013/08/02)
","16475 days (45 years, 1 months, 9 days)"
"de Corneille, Roland",1927-05-19,"MP (1979/05/22 - 1988/11/20)
","1979/05/22 - 1988/11/20
",NA,"Eglinton--Lawrence (1979/05/22 - 1988/11/20)
","Ontario
",Man,"Liberal Party of Canada (1979/05/22 - 1988/11/20)
","3471 days (9 years, 6 months, 1 days)"
"de Cotret, Robert René",1944-02-20,"MP (1988/11/21 - 1993/06/16)
MP (1984/09/04 - 1988/11/20)
MP (1978/10/16 - 1979/05/21)
Senator (1979/06/05 - 1980/01/14)
","1988/11/21 - 1993/06/16
1984/09/04 - 1988/11/20
1978/10/16 - 1979/05/21
","1979/06/05 - 1980/01/14
","Berthier--Montcalm (1988/11/21 - 1993/06/16)
Berthier--Maskinongé--Lanaudière (1984/09/04 - 1988/11/20)
Ottawa (1979/06/05 - 1980/01/14)
Ottawa Centre (1978/10/16 - 1979/05/21)
","Quebec
Quebec
Ontario
Ontario
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
Progressive Conservative Party (1979/06/05 - 1980/01/14)
Progressive Conservative Party (1978/10/16 - 1979/05/21)
","3650 days (9 years, 11 months, 28 days)"
"de Jong, Simon Leendert",1942-04-09,"MP (1988/11/21 - 1997/06/01)
MP (1979/05/22 - 1988/11/20)
","1988/11/21 - 1997/06/01
1979/05/22 - 1988/11/20
",NA,"Regina--Qu'Appelle (1988/11/21 - 1997/06/01)
Regina East (1979/05/22 - 1988/11/20)
","Saskatchewan
Saskatchewan
",Man,"New Democratic Party (1979/05/22 - 1997/06/01)
","6586 days (18 years, 12 days)"
"de Savoye, Pierre",1942-11-12,"MP (1993/10/25 - 2000/11/26)
","1993/10/25 - 2000/11/26
",NA,"Portneuf (1993/10/25 - 2000/11/26)
","Quebec
",Man,"Bloc Québécois (1993/10/25 - 2000/11/26)
","2590 days (7 years, 1 months, 3 days)"
"Deachman, Grant",1913-05-04,"MP (1963/04/08 - 1972/10/29)
","1963/04/08 - 1972/10/29
",NA,"Vancouver Quadra (1963/04/08 - 1972/10/29)
","British Columbia
",Man,"Liberal Party of Canada (1963/04/08 - 1972/10/29)
","3493 days (9 years, 6 months, 23 days)"
"Deacon, Colin",NA,"Senator (2018/06/15 - )
",NA,"2018/06/15 - 
","Nova Scotia (2018/06/15 - )
","Nova Scotia
",Man,"Canadian Senators Group (2023/07/11 - )
Independent Senators Group (2018/09/21 - 2023/07/10)
Non-affiliated (2018/06/15 - 2018/09/20)
","2096 days (5 years, 8 months, 27 days)"
"Deacon, Marty",NA,"Senator (2018/02/15 - )
",NA,"2018/02/15 - 
","Waterloo Region (2018/04/25 - )
Waterloo (2018/02/15 - 2018/04/24)
","Ontario
Ontario
",Woman,"Independent Senators Group (2018/02/28 - )
Non-affiliated (2018/02/15 - 2018/02/27)
","2216 days (6 years, 25 days)"
"Deakon, Walter Cyril",1924-05-24,"MP (1968/06/25 - 1972/10/29)
","1968/06/25 - 1972/10/29
",NA,"High Park (1968/06/25 - 1972/10/29)
","Ontario
",Man,"Liberal Party of Canada (1968/06/25 - 1972/10/29)
","1588 days (4 years, 4 months, 5 days)"
"Dean, Tony",NA,"Senator (2016/11/10 - )
",NA,"2016/11/10 - 
","Ontario (2016/11/10 - )
","Ontario
",Man,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
","2678 days (7 years, 3 months, 30 days)"
"Deans, Ian",1937-08-16,"MP (1980/02/18 - 1986/08/31)
","1980/02/18 - 1986/08/31
",NA,"Hamilton Mountain (1980/02/18 - 1986/08/31)
","Ontario
",Man,"New Democratic Party (1980/02/18 - 1986/08/31)
","2387 days (6 years, 6 months, 13 days)"
"DeBellefeuille, Claude",1963-12,"MP (2019/10/21 - )
MP (2006/01/23 - 2011/05/01)
","2019/10/21 - 
2006/01/23 - 2011/05/01
",NA,"Salaberry--Suroît (2019/10/21 - )
Beauharnois--Salaberry (2006/01/23 - 2011/05/01)
","Quebec
Quebec
",Woman,"Bloc Québécois (2019/10/21 - )
Bloc Québécois (2006/01/23 - 2011/05/01)
","3528 days (9 years, 7 months, 28 days)"
"Debien, Maud",1938-05-29,"MP (1993/10/25 - 2000/11/26)
","1993/10/25 - 2000/11/26
",NA,"Laval East (1993/10/25 - 2000/11/26)
","Quebec
",Woman,"Bloc Québécois (1993/10/25 - 2000/11/26)
","2590 days (7 years, 1 months, 3 days)"
"Deblois, Charles",1939-05-27,"MP (1990/12/19 - 1993/10/24)
MP (1988/11/21 - 1990/12/18)
","1990/12/19 - 1993/10/24
1988/11/21 - 1990/12/18
",NA,"Beauport--Montmorency--Orléans (1990/12/19 - 1993/10/24)
Montmorency--Orléans (1988/11/21 - 1990/12/18)
","Quebec
Quebec
",Man,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Dechert, Bob",1958-05-18,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"Mississauga--Erindale (2008/10/14 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2008/10/14 - 2015/10/18)
","2561 days (7 years, 4 days)"
"DeCourcey, Matt",1983-04-04,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"Fredericton (2015/10/19 - 2019/10/20)
","New Brunswick
",Man,"Liberal Party of Canada (2015/10/19 - 2019/10/20)
","1463 days (4 years, 2 days)"
"Del Mastro, Dean",1970-08-16,"MP (2006/01/23 - 2014/11/05)
","2006/01/23 - 2014/11/05
",NA,"Peterborough (2006/01/23 - 2014/11/05)
","Ontario
",Man,"Independent Conservative (2013/09/30 - 2014/11/05)
Conservative Party of Canada (2006/01/23 - 2013/09/29)
","3209 days (8 years, 9 months, 13 days)"
"Della Noce, Vincent",1943-11-18,"MP (1990/12/19 - 1993/10/24)
MP (1984/09/04 - 1990/12/18)
","1990/12/19 - 1993/10/24
1984/09/04 - 1990/12/18
",NA,"Laval East (1990/12/19 - 1993/10/24)
Duvernay (1984/09/04 - 1990/12/18)
","Quebec
Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Deltell, Gérard",1964-08-08,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Louis-Saint-Laurent (2015/10/19 - )
","Quebec
",Man,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Demers, Jacques",NA,"Senator (2009/08/27 - 2019/08/24)
",NA,"2009/08/27 - 2019/08/24
","Rigaud (2009/08/27 - 2019/08/24)
","Quebec
",Man,"Independent Senators Group (2017/06/01 - 2019/08/24)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2015/12/03 - 2016/06/12)
Conservative Party of Canada (2009/08/27 - 2015/12/02)
","3650 days (9 years, 11 months, 28 days)"
"Demers, Nicole",1950-01-15,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"Laval (2004/06/28 - 2011/05/01)
","Quebec
",Woman,"Bloc Québécois (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Demers, Yves",1938-09-07,"MP (1972/10/30 - 1984/09/03)
","1972/10/30 - 1984/09/03
",NA,"Duvernay (1972/10/30 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1972/10/30 - 1984/09/03)
","4327 days (11 years, 10 months, 5 days)"
"Deniger, Pierre",1947-10-16,"MP (1979/05/22 - 1984/09/03)
","1979/05/22 - 1984/09/03
",NA,"Laprairie (1979/05/22 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1984/09/03)
","1932 days (5 years, 3 months, 15 days)"
"Denis, Azellus",1907-03-26,"MP (1953/08/10 - 1964/02/02)
MP (1949/06/27 - 1953/08/09)
MP (1935/10/14 - 1949/06/26)
Senator (1964/02/03 - 1991/09/04)
","1953/08/10 - 1964/02/02
1949/06/27 - 1953/08/09
1935/10/14 - 1949/06/26
","1964/02/03 - 1991/09/04
","La Salle (1964/02/03 - 1991/09/04)
Saint-Denis (1953/08/10 - 1964/02/02)
St-Denis (1949/06/27 - 1953/08/09)
St. Denis (1935/10/14 - 1949/06/26)
","Quebec
Quebec
Quebec
Quebec
",Man,"Liberal Party of Canada (1935/10/14 - 1991/09/04)
","20415 days (55 years, 10 months, 22 days)"
"Desbiens, Caroline",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Beauport--Côte-de-Beaupré--Île D’Orléans--Charlevoix (2019/10/21 - )
","Quebec
",Woman,"Bloc Québécois (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Deschamps, Johanne",1959-04-02,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"Laurentides--Labelle (2004/06/28 - 2011/05/01)
","Quebec
",Woman,"Bloc Québécois (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Deschatelets, Jean-Paul",1912-10-09,"MP (1953/08/10 - 1965/11/07)
Senator (1966/02/24 - 1986/01/10)
","1953/08/10 - 1965/11/07
","1966/02/24 - 1986/01/10
","Lauzon (1966/02/24 - 1986/01/10)
Maisonneuve--Rosemont (1953/08/10 - 1965/11/07)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1953/08/10 - 1986/12/11)
","11734 days (32 years, 1 months, 16 days)"
"Deshaies, Bernard",1953-12-11,"MP (1993/10/25 - 1997/06/01)
","1993/10/25 - 1997/06/01
",NA,"Abitibi (1993/10/25 - 1997/06/01)
","Quebec
",Man,"Bloc Québécois (1993/10/25 - 1997/06/01)
","1316 days (3 years, 7 months, 7 days)"
"Desilets, Luc",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Rivière-des-Mille-Îles (2019/10/21 - )
","Quebec
",Man,"Bloc Québécois (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Desjardins, Gabriel",1949-02-14,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Témiscamingue (1984/09/04 - 1993/10/24)
","Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/24)
","3338 days (9 years, 1 months, 21 days)"
"Desjarlais, Beverly (Bev) Faye",1955-08-19,"MP (1997/06/02 - 2006/01/22)
","1997/06/02 - 2006/01/22
",NA,"Churchill (1997/06/02 - 2006/01/22)
","Manitoba
",Woman,"Independent (2005/10/18 - 2006/01/22)
New Democratic Party (1997/06/02 - 2005/10/17)
","3157 days (8 years, 7 months, 22 days)"
"Desmarais, Jean Noël",1924-04-11,"Senator (1993/06/04 - 1995/07/25)
",NA,"1993/06/04 - 1995/07/25
","Sudbury (1993/06/04 - 1995/07/25)
","Ontario
",Man,"Progressive Conservative Party (1993/06/04 - 1995/07/25)
","782 days (2 years, 1 months, 22 days)"
"Desmarais, Louis R.",1923-02-16,"MP (1979/05/22 - 1984/09/03)
","1979/05/22 - 1984/09/03
",NA,"Dollard (1979/05/22 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1984/09/03)
","1932 days (5 years, 3 months, 15 days)"
"Desnoyers, Luc",1950-10-02,"MP (2008/10/14 - 2011/05/01)
","2008/10/14 - 2011/05/01
",NA,"Rivière-des-Mille-Îles (2008/10/14 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (2008/10/14 - 2011/05/01)
","930 days (2 years, 6 months, 17 days)"
"Desrochers, Odina",1951-05-25,"MP (2004/06/28 - 2006/01/22)
MP (2000/06/29 - 2004/06/27)
MP (1997/06/02 - 2000/06/28)
","2004/06/28 - 2006/01/22
2000/06/29 - 2004/06/27
1997/06/02 - 2000/06/28
",NA,"Lotbinière--Chutes-de-la-Chaudière (2004/06/28 - 2006/01/22)
Lotbinière--L'Érable (2000/06/29 - 2004/06/27)
Lotbinière (1997/06/02 - 2000/06/28)
","Quebec
Quebec
Quebec
",Man,"Bloc Québécois (1997/06/02 - 2006/01/22)
","3157 days (8 years, 7 months, 22 days)"
"Desrosiers, Édouard",1934-08-26,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"Hochelaga--Maisonneuve (1984/09/04 - 1988/11/20)
","Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1988/11/20)
","1539 days (4 years, 2 months, 17 days)"
"Desruisseaux, Paul",1905-05-01,"Senator (1966/07/08 - 1980/05/01)
",NA,"1966/07/08 - 1980/05/01
","Wellington (1966/07/08 - 1980/05/01)
","Quebec
",Man,"Liberal Party of Canada (1966/07/08 - 1980/05/01)
","5047 days (13 years, 9 months, 25 days)"
"Dessureault, Jean-Marie",1888-12-30,"Senator (1945/06/09 - 1970/08/16)
",NA,"1945/06/09 - 1970/08/16
","Stadacona (1945/06/09 - 1970/08/16)
","Quebec
",Man,"Liberal Party of Canada (1945/06/09 - 1970/08/16)
","9200 days (25 years, 2 months, 8 days)"
"DeVillers, Paul",1946-03-11,"MP (1993/10/25 - 2006/01/22)
","1993/10/25 - 2006/01/22
",NA,"Simcoe North (1993/10/25 - 2006/01/22)
","Ontario
",Man,"Liberal Party of Canada (1993/10/25 - 2006/01/22)
","4473 days (12 years, 2 months, 29 days)"
"Devolin, Barry",1963-03-10,"MP (2004/06/28 - 2015/10/18)
","2004/06/28 - 2015/10/18
",NA,"Haliburton--Kawartha Lakes--Brock (2004/06/28 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2004/06/28 - 2015/10/18)
","4130 days (11 years, 3 months, 21 days)"
"Dewar, Marion",1928-02-17,"MP (1987/07/20 - 1988/11/20)
","1987/07/20 - 1988/11/20
",NA,"Hamilton Mountain (1987/07/20 - 1988/11/20)
","Ontario
",Woman,"New Democratic Party (1987/07/20 - 1988/11/20)
","490 days (1 years, 4 months, 3 days)"
"Dewar, Paul",1963-01-25,"MP (2006/01/23 - 2015/10/18)
","2006/01/23 - 2015/10/18
",NA,"Ottawa Centre (2006/01/23 - 2015/10/18)
","Ontario
",Man,"New Democratic Party (2006/01/23 - 2015/10/18)
","3556 days (9 years, 8 months, 26 days)"
"DeWare, Mabel M.",1926-08-09,"Senator (1990/09/23 - 2001/08/09)
",NA,"1990/09/23 - 2001/08/09
","Moncton (1990/09/23 - 2001/08/09)
","New Brunswick
",Woman,"Progressive Conservative Party (1990/09/23 - 2001/08/09)
","3974 days (10 years, 10 months, 18 days)"
"Dhaliwal, Harbance Singh (Herb)",1952-12-12,"MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Vancouver South--Burnaby (1997/06/02 - 2004/06/27)
Vancouver South (1993/10/25 - 1997/06/01)
","British Columbia
British Columbia
",Man,"Liberal Party of Canada (1993/10/25 - 2004/06/27)
","3899 days (10 years, 8 months, 4 days)"
"Dhaliwal, Sukh",1960-10-01,"MP (2015/10/19 - )
MP (2006/01/23 - 2011/05/01)
","2015/10/19 - 
2006/01/23 - 2011/05/01
",NA,"Surrey--Newton (2015/10/19 - )
Newton--North Delta (2006/01/23 - 2011/05/01)
","British Columbia
British Columbia
",Man,"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2006/01/23 - 2011/05/01)
","4991 days (13 years, 7 months, 30 days)"
"Dhalla, Ruby",1974-02-18,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"Brampton--Springdale (2004/06/28 - 2011/05/01)
","Ontario
",Woman,"Liberal Party of Canada (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Dhillon, Anju",1979,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Dorval--Lachine--LaSalle (2015/10/19 - )
","Quebec
",Woman,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Di Iorio, Nicola",NA,"MP (2015/10/19 - 2019/01/29)
","2015/10/19 - 2019/01/29
",NA,"Saint-Léonard--Saint-Michel (2015/10/19 - 2019/01/29)
","Quebec
",Man,"Liberal Party of Canada (2015/10/19 - 2019/01/29)
","1199 days (3 years, 3 months, 12 days)"
"Di Nino, Consiglio",1938-01-24,"Senator (1990/08/30 - 2012/06/30)
",NA,"1990/08/30 - 2012/06/30
","Ontario (1990/08/30 - 2012/06/30)
","Ontario
",Man,"Conservative Party of Canada (2004/02/02 - 2012/06/30)
Progressive Conservative Party (1990/08/30 - 2004/02/01)
","7976 days (21 years, 10 months, 2 days)"
"Dick, Paul Wyatt",1940-10-27,"MP (1988/11/21 - 1993/10/24)
MP (1972/10/30 - 1988/11/20)
","1988/11/21 - 1993/10/24
1972/10/30 - 1988/11/20
",NA,"Lanark--Carleton (1988/11/21 - 1993/10/24)
Lanark--Renfrew--Carleton (1972/10/30 - 1988/11/20)
","Ontario
Ontario
",Man,"Progressive Conservative Party (1972/10/30 - 1993/10/24)
","7665 days (20 years, 11 months, 25 days)"
